S.No,State / UT,Zone,Place / Destination
1,Jammu & Kashmir,North,Srinagar & Dal Lake
2,Jammu & Kashmir,North,Gulmarg
3,Jammu & Kashmir,North,Pahalgam
4,Jammu & Kashmir,North,Sonmarg
5,Jammu & Kashmir,North,Amarnath Cave
6,Jammu & Kashmir,North,Vaishno Devi
7,Jammu & Kashmir,North,Yusmarg
8,Jammu & Kashmir,North,Doodhpathri
9,Jammu & Kashmir,North,Kashmir Great Lakes Trek
10,Jammu & Kashmir,North,Tarsar Marsar Trek
11,Jammu & Kashmir,North,Jammu (Raghunath Temple)
12,Jammu & Kashmir,North,Patnitop
13,Ladakh,North,Leh
14,Ladakh,North,Pangong Tso
15,Ladakh,North,Nubra Valley
16,Ladakh,North,Tso Moriri
17,Ladakh,North,Khardung La
18,Ladakh,North,Chadar Trek (Zanskar)
19,Ladakh,North,Markha Valley Trek
20,Ladakh,North,Magnetic Hill
21,Ladakh,North,Hemis Monastery
22,Ladakh,North,Zanskar Valley
23,Ladakh,North,Kargil
24,Himachal Pradesh,North,Shimla
25,Himachal Pradesh,North,Manali
26,Himachal Pradesh,North,Dharamshala & McLeod Ganj
27,Himachal Pradesh,North,Spiti Valley
28,Himachal Pradesh,North,Kasol & Parvati Valley
29,Himachal Pradesh,North,Triund Trek
30,Himachal Pradesh,North,Hampta Pass Trek
31,Himachal Pradesh,North,Chandratal Lake
32,Himachal Pradesh,North,Kullu Valley
33,Himachal Pradesh,North,Dalhousie & Khajjiar
34,Himachal Pradesh,North,Kinnaur Valley
35,Himachal Pradesh,North,Bir Billing
36,Himachal Pradesh,North,Solang Valley
37,Himachal Pradesh,North,Jibhi & Tirthan Valley
38,Uttarakhand,North,Rishikesh
39,Uttarakhand,North,Haridwar
40,Uttarakhand,North,Nainital
41,Uttarakhand,North,Mussoorie
42,Uttarakhand,North,Auli
43,Uttarakhand,North,Valley of Flowers
44,Uttarakhand,North,Kedarnath
45,Uttarakhand,North,Badrinath
46,Uttarakhand,North,Gangotri & Gaumukh
47,Uttarakhand,North,Yamunotri
48,Uttarakhand,North,Jim Corbett National Park
49,Uttarakhand,North,Roopkund Trek
50,Uttarakhand,North,Kausani
51,Uttarakhand,North,Chopta & Tungnath
52,Uttarakhand,North,Ranikhet
53,Punjab,North,Amritsar (Golden Temple)
54,Punjab,North,Wagah Border
55,Punjab,North,Chandigarh
56,Punjab,North,Anandpur Sahib
57,Punjab,North,Patiala
58,Haryana,North,Kurukshetra
59,Haryana,North,Sultanpur National Park
60,Haryana,North,Surajkund
61,Haryana,North,Pinjore Gardens
62,Delhi,North,Red Fort
63,Delhi,North,Qutub Minar
64,Delhi,North,India Gate
65,Delhi,North,Humayun's Tomb
66,Delhi,North,Lotus Temple
67,Delhi,North,Akshardham Temple
68,Delhi,North,Chandni Chowk
69,Rajasthan,West,Jaipur (Pink City)
70,Rajasthan,West,Udaipur
71,Rajasthan,West,Jodhpur
72,Rajasthan,West,Jaisalmer
73,Rajasthan,West,Pushkar
74,Rajasthan,West,Mount Abu
75,Rajasthan,West,Ranthambore National Park
76,Rajasthan,West,Bikaner
77,Rajasthan,West,Chittorgarh Fort
78,Rajasthan,West,Thar Desert Safari (Sam Dunes)
79,Rajasthan,West,Bundi
80,Rajasthan,West,Keoladeo National Park (Bharatpur)
81,Gujarat,West,Rann of Kutch
82,Gujarat,West,Gir National Park
83,Gujarat,West,Somnath Temple
84,Gujarat,West,Dwarka
85,Gujarat,West,Statue of Unity
86,Gujarat,West,Diu
87,Gujarat,West,Champaner-Pavagadh
88,Gujarat,West,Ahmedabad (Old City)
89,Gujarat,West,Saputara
90,Maharashtra,West,Mumbai
91,Maharashtra,West,Ajanta & Ellora Caves
92,Maharashtra,West,Lonavala & Khandala
93,Maharashtra,West,Mahabaleshwar
94,Maharashtra,West,Alibaug
95,Maharashtra,West,Tadoba National Park
96,Maharashtra,West,Harishchandragad Trek
97,Maharashtra,West,Kalsubai Peak Trek
98,Maharashtra,West,Sinhagad Fort Trek
99,Maharashtra,West,Shirdi
100,Maharashtra,West,Ganpatipule
101,Maharashtra,West,Tarkarli
102,Maharashtra,West,Raigad Fort
103,Goa,West,Baga & Calangute Beach
104,Goa,West,Anjuna & Vagator Beach
105,Goa,West,Palolem Beach
106,Goa,West,Old Goa Churches
107,Goa,West,Dudhsagar Falls
108,Goa,West,Fort Aguada
109,Goa,West,Butterfly Beach & Grand Island
110,Madhya Pradesh,Central,Khajuraho Temples
111,Madhya Pradesh,Central,Kanha National Park
112,Madhya Pradesh,Central,Bandhavgarh National Park
113,Madhya Pradesh,Central,Pachmarhi
114,Madhya Pradesh,Central,Sanchi Stupa
115,Madhya Pradesh,Central,Bhimbetka Caves
116,Madhya Pradesh,Central,Ujjain (Mahakaleshwar)
117,Madhya Pradesh,Central,Orchha
